"","ExR_43","ExR_57","ExR_62","ExR_65","ExR_69","ExR_72","ExR_76","ExR_79","ExR_83","NGRDI_43","NGRDI_57","NGRDI_62","NGRDI_65","NGRDI_69","NGRDI_72","NGRDI_76","NGRDI_79","NGRDI_83"
"Y319",0.131086197110181,0.0922199258106533,0.096143819635473,0.0902225261680545,0.0149859620999819,0.0423764691598511,0.0624502752192576,0.0721060958733509,0.0653517176814024,0.0301942048144646,0.0755519103807182,0.0781010788593779,0.0820042725702083,0.155346193767336,0.136114564893555,0.0876618930734211,0.0816797238989284,0.0915080416350132
"Y320",0.124131523386892,0.0959693889578476,0.103549691544627,0.0945857072772798,0.0478793793371557,0.075997266461259,0.0809865094866296,0.0908068257516321,0.0754287763853172,0.0344672271234219,0.0712665027136946,0.068278135580448,0.0737123903217992,0.11924162235432,0.107757774179372,0.0598963582883913,0.0552772346211958,0.0695003942621678
"Y321",0.135285417262459,0.11179496148764,0.107005755383921,0.0930983313194319,0.0415412583228966,0.0554396908535307,0.0625861275963001,0.0683125708608001,0.0603731306177529,0.0278138190344543,0.0550605551262743,0.0643612728626536,0.0772735660265095,0.123574932604437,0.124398009408988,0.0854161625616649,0.0881894561744768,0.0970046166530373
"Y322",0.13453745614219,0.0999061131175986,0.103507049312955,0.0949220401382508,0.0433824082374861,0.0627393235793161,0.0740446424078756,0.0836948829627095,0.0686948177279865,0.0280762187771509,0.069892176186682,0.0685502553561831,0.0757263877610551,0.123950295899868,0.119084128764286,0.0715410395805624,0.0681648200691343,0.0831868846073281
"Y323",0.130127924050084,0.111946655925951,0.10709721656356,0.0988351924124398,0.0401736752429813,0.0590292273011481,0.065626695639277,0.0813206988764981,0.066941407986129,0.0330757028265923,0.0536671162753474,0.0649732252269134,0.0715557692175626,0.127973516674528,0.121817257350599,0.0819154622530982,0.0668419431237681,0.0854740814397368
"Y324",0.136557797742025,0.116420162845023,0.107600025667148,0.0997449069777136,0.0480544228583626,0.059476873416654,0.0761875849715748,0.0787459454479074,0.0664648908526431,0.0241909400786678,0.0492332395564199,0.0603039740482911,0.0663297479543016,0.119642340092939,0.11957579624105,0.0636108787446367,0.0682352699688672,0.0805823378461573
"Y325",0.132372802932461,0.10281001537961,0.0986827385093392,0.09170101766891,0.0262433015442119,0.0490587052223858,0.0644739775867148,0.0752373625553614,0.0635278452905969,0.0295088353583368,0.0664630021826851,0.0732945806543923,0.0785756632012203,0.143606284820434,0.131045729507404,0.0856761717758908,0.0745960391871498,0.0901244478556233
"Y326",0.13674060285066,0.104372399665432,0.102516904883543,0.0936342165217317,0.0290651252770155,0.0543689339943429,0.0668828521834241,0.0775251967242077,0.0643732120498376,0.029957475861234,0.0634001952456526,0.0730030656252273,0.0787099188838562,0.140500661384286,0.126928261116008,0.083854854417018,0.0739022133346225,0.0910880095838169
"Y327",0.131983925548282,0.101441237447488,0.0919978600962069,0.0870606098182135,0.0347823124453323,0.0512451911111515,0.073381546212714,0.0772096777870914,0.0640072849104201,0.0314050337748887,0.0660292845164724,0.0807758255629489,0.0826875524397822,0.133675946555819,0.128546046954739,0.0728020102866596,0.0723098418359395,0.0873102762268159
"Y328",0.126092014645865,0.100170509344789,0.104440864272102,0.0937800739905392,0.0414942138456457,0.0689940751073481,0.0796860351824197,0.0896435283492603,0.0717826279469244,0.0346006440465182,0.0660655513644878,0.0699602691169609,0.0776751401170966,0.1283079432168,0.115587844019232,0.0680292762994914,0.0598279347450268,0.0777095244020566
"Y329",0.132662898268511,0.104124034463743,0.0997876753946241,0.093410691192421,0.0324976871694098,0.0629328613379343,0.0709264000557884,0.0775812051156667,0.0698973932491669,0.031253446063951,0.067347154195166,0.0744608687550366,0.0795432166669616,0.137121468290652,0.12073695410801,0.0757615616101604,0.0733431846635488,0.0847280060886461
"Y330",0.137561816175505,0.111918888468221,0.11227229214119,0.106773787679874,0.0373467042113442,0.0764650580677004,0.0825405292064855,0.0901431242207243,0.0722206464642905,0.0260469185014078,0.0583904115730732,0.0644883686621453,0.0669348908980505,0.131119187118319,0.110340670560146,0.0619150504962576,0.0596852617210816,0.0799088660718293
"Y331",0.139391183198788,0.118484633906109,0.100783638152716,0.0977167684860943,0.0512198023518332,0.0656302856111674,0.0787247254593356,0.0868036120342304,0.0780327435025245,0.0219951385025056,0.0489396624119205,0.0664878491983039,0.0679807604475574,0.115336744409288,0.115818327309637,0.0650157301097358,0.0617958330813043,0.0725161783800715
"Y332",0.139375162146194,0.121213048696256,0.112130630721032,0.100670652720768,0.0529881064041601,0.0731700033482305,0.0757303371405951,0.0848350570757211,0.0704265181844361,0.0261543958790441,0.0497245516543275,0.061625353439784,0.07111893254072,0.118252618435587,0.111897532569327,0.0702958659308763,0.0683413652291888,0.0840136634611744
"Y333",0.132507664749244,0.108099475559894,0.102437782246313,0.0926444910243605,0.0391646800566204,0.0536788655333317,0.0719704399161499,0.0793674030012833,0.0650129578772417,0.0248897275846339,0.056013139418616,0.0666508925031376,0.0728564861709732,0.128539984224511,0.12417241462539,0.0705181320275672,0.0656037649693559,0.0825003469028778
"Y334",0.128548476932739,0.115509957509553,0.106115122297371,0.0960606334335748,0.0478180810186719,0.0678530740821095,0.0802673912417478,0.0843108619966538,0.0732064786576214,0.03268363700408,0.0539706564790764,0.0635943260914028,0.0729782597618439,0.120411581869328,0.116328128702561,0.0593980641723181,0.0703584452289878,0.0842221914112004
"Y335",0.145306567045039,0.134777301118855,0.124572926358215,0.110247486816883,0.0778314873110787,0.0978832669477051,0.0946967538563032,0.115292208839249,0.0981717991858548,0.0222867757502719,0.039764154115138,0.047302638930691,0.0571114462956498,0.0969449515031591,0.0952199732912009,0.0542081445357776,0.0450937451250242,0.0565318258794935
"Y336",0.130287228900131,0.111342282939119,0.104938278588671,0.0973719561845998,0.047422058298742,0.0680675672834988,0.073105194629052,0.079482533283566,0.0666036116057118,0.0328110033365452,0.0627687524171039,0.0671487629667853,0.0741660376147545,0.120063743344867,0.114370545304245,0.067502076695045,0.0665212280063149,0.0829438396924928
"Y337",0.129045273499309,0.119077414618391,0.109336947864274,0.100762082097436,0.0418251276252518,0.0681694713790954,0.0737079546668973,0.0844723923962337,0.0686562228994156,0.0310139827569044,0.0502058934222847,0.0609542569572111,0.0688462863908396,0.125415915115692,0.114805147248421,0.0719557603280493,0.0632541244258752,0.0812506033181032
"Y338",0.133867348486198,0.106916471971822,0.103214231118098,0.0947007393896482,0.0196632670041292,0.0495038144085206,0.0720149094318974,0.0806823638847693,0.0655181027387153,0.0277436891964232,0.0605910313329072,0.0729094798063708,0.0777476449903307,0.148765447262338,0.12950532752621,0.0765347458291728,0.071321941917818,0.0883127070694597
"Y339",0.131240211168062,0.117854504425907,0.110486749349325,0.101062234761274,0.0410111441140773,0.0673524953138732,0.0681779895466722,0.0788100145607959,0.069595934944789,0.0284767818431319,0.0478774064224101,0.0622555361726288,0.0673748481203839,0.125055269090594,0.11478779409066,0.0785048619766859,0.0692341814526831,0.0793294383565311
"Y340",0.128409472904787,0.0991961768789064,0.0964852017101852,0.0851168035747104,0.025260768676492,0.0485820957556614,0.0690964977432433,0.0781585516607387,0.06137101848156,0.036308730139956,0.0668846382835287,0.0746069535450803,0.0844220948330021,0.142443120156897,0.129570595509983,0.0787638037904135,0.0700721211802479,0.0906160496439962
"Y341",0.13892422161766,0.113408517534862,0.103457302713128,0.0941645019118055,0.0416155327482467,0.0634298218364641,0.0821991017162682,0.090713525696045,0.0840968444613553,0.0277136790863301,0.0515047942930726,0.067502164911469,0.0752869239723297,0.128011015607588,0.118985858434965,0.0639469885712237,0.0626189123037138,0.0716387041346791
"Y342",0.134388441813175,0.111120147707265,0.110299164359604,0.102217388537243,0.0545584610004804,0.0804923095046175,0.0779936832061769,0.0890675026465919,0.0704085138442202,0.0284187928355431,0.0590536579693484,0.063407654598909,0.0676179199732316,0.114432592165724,0.105753249272053,0.0633672071693753,0.0605004123415431,0.0809764835324701
"Y343",0.131787007617077,0.115539517501127,0.105759966587541,0.0955802241965246,0.0482720171181267,0.0722176006806332,0.0765611030195977,0.0890214025837153,0.0662428139934744,0.0257162977102943,0.0472381411073448,0.0612917341412852,0.0689362196875005,0.118038610105093,0.110938463843454,0.0603994978270494,0.0510290467239357,0.0776436952827751
"Y344",0.133082328547164,0.112727195296678,0.110363399656254,0.0981875172997051,0.029625419304432,0.059646011110392,0.0757515508795934,0.0850145537459328,0.0750984687997889,0.0276740124774846,0.0556936233977999,0.0649670967512644,0.0742866646830923,0.139682049815965,0.122373704250406,0.0715363544663489,0.0695961923229108,0.0798215045375853
"Y345",0.138883540431051,0.116249515379677,0.105189218321304,0.0935134736864198,0.0396238437225922,0.0631187476118307,0.0758735887732281,0.0852274167468542,0.0710715686649306,0.0241323851755845,0.0552766330743728,0.0687371531036096,0.078316524278842,0.129520935459382,0.120034217855069,0.0731814336816227,0.0700059706539527,0.0830541602002839
"Y346",0.145848202163154,0.12322017603326,0.1094151307905,0.102280696753967,0.0466951905069388,0.0821159647213945,0.0647141113832838,0.073707522743293,0.0714545437305635,0.0228636183031914,0.0516242207260794,0.0610295894745216,0.0663300418315326,0.124694994875212,0.109656352355934,0.0807766648439964,0.0795240352077615,0.0812517552097985
"Y347",0.135124626234218,0.107115644898867,0.0955541956754637,0.0970934577258841,0.0357561911888941,0.0657085718589521,0.051737600813406,0.0687490508522802,0.0675077494741649,0.0274630872015387,0.0586509134282393,0.0680161546658786,0.0669360748896448,0.132003034801715,0.117030915557981,0.087906910461721,0.0752754065208218,0.0800311737855031
"Y348",0.142215597054249,0.114657704141624,0.116945039201096,0.107413159918597,0.0476803870212564,0.0858624160051304,0.0637884810465963,0.0835285286698239,0.0775799608429204,0.0272533941253619,0.0559800306844617,0.0546197631399748,0.0601847702947925,0.120576758243517,0.106200807730199,0.0826353857792353,0.0671883713577245,0.0762542674553922
"Y349",0.137558713185975,0.0934586895947022,0.0893501626078366,0.0774654434312354,0.0134290323060843,0.0423701223089091,0.0423936682189585,0.0587998091028254,0.0492741031803994,0.0273374526848488,0.0688355058996881,0.0719888603164386,0.082271108961585,0.151071036121858,0.135025294859541,0.0981336864936637,0.083625214435931,0.0986966704758701
